,temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,Timestamp,windBearing,precipIntensity,dewPoint,precipProbability,Close
1734,45.37,clear-night,0.54,10.0,Clear,41.29,1014.94,7.64,0.0,1457866800,318,0.0,29.83,0.0,1.372433333
1735,46.68,clear-day,0.52,10.0,Clear,41.65,1016.01,10.76,0.05,1457870400,324,0.0,29.96,0.0,0.937366667
1736,49.95,clear-day,0.44,10.0,Clear,45.56,1016.95,11.34,0.0,1457874000,343,0.0,28.97,0.0,3.846
1737,51.92,clear-day,0.36,10.0,Clear,51.92,1017.45,13.29,0.0,1457877600,359,0.0,25.99,0.0,0.6970999999999999
1738,53.57,clear-day,0.3,10.0,Clear,53.57,1017.79,11.09,0.0,1457881200,7,0.0,23.27,0.0,0.7608666669999999
1739,55.91,clear-day,0.24,10.0,Clear,55.91,1017.91,10.51,0.01,1457884800,4,0.0,19.77,0.0,3.782683333
1740,57.62,clear-day,0.21,10.0,Clear,57.62,1017.86,8.88,0.0,1457888400,0,0.0,18.46,0.0,3.48875
1741,59.94,clear-day,0.19,10.0,Clear,59.94,1017.32,9.39,0.05,1457892000,359,0.0,17.14,0.0,3.810433333
1742,60.86,clear-day,0.17,10.0,Clear,60.86,1017.09,8.17,0.0,1457895600,357,0.0,15.23,0.0,1.23655
1743,61.46,clear-day,0.15,10.0,Clear,61.46,1017.44,5.19,0.0,1457899200,351,0.0,14.05,0.0,0.78085
1744,60.24,clear-day,0.16,10.0,Clear,60.24,1017.87,5.73,0.0,1457902800,347,0.0,14.17,0.0,4.4938833329999985
1745,58.29,clear-day,0.18,10.0,Clear,58.29,1018.22,3.9,0.0,1457906400,350,0.0,15.0,0.0,1.4962333329999995
1746,54.42,clear-night,0.23,10.0,Clear,54.42,1018.78,1.3,0.0,1457910000,324,0.0,17.2,0.0,3.0708
1747,52.11,clear-night,0.28,10.0,Clear,52.11,1019.26,1.8,0.06,1457913600,22,0.0,20.06,0.0,1.87065
1748,49.18,clear-night,0.37,10.0,Clear,49.18,1019.97,1.88,0.0,1457917200,64,0.0,23.85,0.0,13.0581
1749,48.28,clear-night,0.38,10.0,Clear,46.6,1020.52,4.4,0.0,1457920800,49,0.0,23.92,0.0,2.194016667
1750,47.79,clear-night,0.37,10.0,Clear,46.34,1020.94,3.96,0.0,1457924400,85,0.0,22.96,0.0,0.8449500000000001
1751,48.88,clear-night,0.32,10.0,Clear,46.54,1021.21,5.62,0.0,1457928000,97,0.0,20.28,0.0,7.309166666
1752,49.1,clear-night,0.28,10.0,Clear,46.7,1021.6,5.81,0.0,1457931600,90,0.0,17.6,0.0,0.7260166659999999
1753,48.08,clear-night,0.31,10.0,Clear,44.76,1022.23,7.26,0.07,1457935200,100,0.0,18.98,0.0,7.241483333000001
1754,46.89,clear-night,0.36,10.0,Clear,42.94,1022.6,8.09,0.0,1457938800,94,0.0,21.03,0.0,0.926349999
1755,45.72,clear-night,0.36,10.0,Clear,41.44,1022.77,8.26,0.0,1457942400,92,0.0,20.43,0.0,1.316266666
1756,44.13,clear-night,0.4,10.0,Clear,38.89,1023.11,9.66,0.07,1457946000,96,0.0,21.4,0.0,3.496233333
1757,41.86,clear-night,0.51,10.0,Clear,37.11,1023.67,7.51,0.0,1457949600,87,0.0011,24.96,0.01,0.6978333330000001
1758,40.45,partly-cloudy-night,0.58,10.0,Partly Cloudy,34.86,1023.79,8.55,0.31,1457953200,86,0.003,26.98,0.1,0.903383333
1759,39.82,partly-cloudy-day,0.62,10.0,Partly Cloudy,33.72,1024.06,9.32,0.44,1457956800,90,0.0011,28.06,0.01,3.592016666
1760,39.25,rain,0.68,9.71,Drizzle,32.92,1024.51,9.54,0.31,1457960400,89,0.0077,29.76,0.39,1.110483333
1761,38.72,rain,0.72,8.14,Light Rain,33.25,1024.86,7.59,0.31,1457964000,92,0.0227,30.59,0.62,5.240816666000001
1762,38.17,rain,0.75,8.21,Light Rain,32.52,1024.83,7.71,0.2,1457967600,95,0.0308,30.97,0.66,5.26815
1763,37.72,rain,0.79,7.97,Light Rain,32.5,1024.35,6.82,0.31,1457971200,85,0.0268,31.93,0.65,7.8993
1764,37.86,rain,0.82,7.6,Light Rain,32.22,1023.8,7.58,0.31,1457974800,87,0.0191,32.79,0.6,0.9600666659999999
1765,37.81,rain,0.83,7.94,Light Rain,31.52,1023.06,8.76,1.0,1457978400,91,0.0156,33.13,0.57,0.361799999
1771,37.51,rain,0.88,7.27,Light Rain,31.51,1020.52,8.1,1.0,1458000000,67,0.0158,34.21,0.57,1.1134499989999995
1777,38.13,rain,0.9,5.87,Light Rain,31.54,1016.81,9.53,1.0,1458021600,49,0.0331,35.45,0.67,5.061933333000001
1783,40.7,rain,0.9,3.29,Light Rain,34.89,1013.17,9.14,1.0,1458043200,27,0.0158,38.01,0.57,3.896316667
1789,47.25,cloudy,0.84,6.87,Overcast,42.74,1010.07,9.67,1.0,1458064800,36,0.0,42.77,0.0,1.278183333
1795,45.37,cloudy,0.83,8.54,Overcast,40.85,1010.01,8.64,1.0,1458086400,10,0.0,40.67,0.0,2.257866667
1796,44.57,partly-cloudy-night,0.85,9.02,Partly Cloudy,40.07,1010.07,8.19,0.31,1458090000,3,0.0,40.32,0.0,1.0679500000000002
1797,43.81,clear-night,0.84,8.69,Clear,39.19,1010.14,8.09,0.09,1458093600,14,0.0,39.34,0.0,6.46995
1798,43.41,clear-night,0.83,8.74,Clear,39.11,1010.14,7.26,0.2,1458097200,7,0.0,38.59,0.0,0.6960666659999999
