,temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,Timestamp,windBearing,precipIntensity,dewPoint,precipProbability,Close
1799,42.61,clear-night,0.85,9.17,Clear,37.23,1010.07,9.18,0.14,1458100800,4,0.0,38.33,0.0,0.898333333
1800,42.43,clear-night,0.83,9.65,Clear,37.06,1010.2,9.06,0.0,1458104400,7,0.0,37.72,0.0,5.145099999
1801,42.15,partly-cloudy-night,0.83,9.78,Partly Cloudy,36.85,1010.21,8.76,0.54,1458108000,5,0.0,37.46,0.0,2.554983333
1802,41.87,partly-cloudy-night,0.84,10.0,Partly Cloudy,37.2,1010.07,7.34,0.31,1458111600,3,0.0,37.26,0.0,0.8048333329999999
1804,41.33,partly-cloudy-night,0.84,10.0,Partly Cloudy,36.72,1009.73,7.03,0.31,1458118800,6,0.0,36.91,0.0,3.8664
1805,39.96,clear-night,0.87,9.5,Clear,35.92,1010.07,5.68,0.24,1458122400,352,0.0,36.54,0.0,8.196016667
1806,39.12,clear-night,0.89,9.22,Clear,34.99,1010.62,5.6,0.1,1458126000,332,0.0,36.14,0.0,1.4759666669999998
1807,41.02,clear-day,0.86,9.5,Clear,36.76,1011.07,6.34,0.14,1458129600,351,0.0,37.2,0.0,1.0015166659999999
1808,44.54,clear-day,0.79,10.0,Clear,40.43,1011.41,7.34,0.15,1458133200,1,0.0,38.42,0.0,2.505316667
1809,47.79,clear-day,0.71,10.0,Clear,44.54,1011.51,6.97,0.09,1458136800,6,0.0,38.95,0.0,8.067916666
1810,50.43,clear-day,0.67,10.0,Clear,50.43,1011.7,7.14,0.11,1458140400,9,0.0,40.04,0.0,3.7493166660000004
1811,53.71,clear-day,0.61,10.0,Clear,53.71,1011.06,5.0,0.14,1458144000,1,0.0,40.56,0.0,1.1815833329999998
1812,56.12,clear-day,0.58,10.0,Clear,56.12,1010.23,2.74,0.04,1458147600,4,0.0,41.49,0.0,0.7017
1813,58.16,clear-day,0.55,10.0,Clear,58.16,1009.42,2.97,0.1,1458151200,49,0.0,42.11,0.0,3.5244000000000004
1814,59.68,clear-day,0.53,10.0,Clear,59.68,1008.76,3.49,0.11,1458154800,94,0.0,42.67,0.0,0.7935000000000001
1815,60.29,clear-day,0.52,10.0,Clear,60.29,1008.2,4.88,0.09,1458158400,136,0.0,42.71,0.0,3.899016667
1816,60.15,clear-day,0.54,10.0,Clear,60.15,1007.67,6.44,0.07,1458162000,124,0.0,43.24,0.0,0.22175
1817,58.24,clear-day,0.56,10.0,Clear,58.24,1007.82,7.22,0.15,1458165600,137,0.0,42.8,0.0,3.444150001
1818,54.61,clear-night,0.66,9.69,Clear,54.61,1008.73,4.97,0.24,1458169200,147,0.0039,43.39,0.15,2.7842666670000003
1819,51.64,rain,0.78,9.43,Light Rain,51.64,1010.44,5.12,1.0,1458172800,145,0.0269,45.03,0.65,0.901716667
1824,46.09,rain,0.91,8.01,Rain,46.09,1011.7,1.07,0.31,1458190800,257,0.0546,43.66,0.73,0.6991
1825,44.42,rain,0.94,6.98,Light Rain,44.42,1011.28,1.4,0.35,1458194400,127,0.0211,42.78,0.61,0.907333333
1826,42.73,partly-cloudy-night,0.93,3.25,Partly Cloudy,42.73,1010.42,0.83,0.31,1458198000,176,0.0,40.89,0.0,1.073633333
1827,41.42,clear-night,0.96,3.16,Clear,41.42,1010.14,2.03,0.18,1458201600,160,0.0,40.32,0.0,1.2890000000000001
1828,42.13,clear-night,0.95,2.6,Clear,40.05,1010.03,3.7,0.0,1458205200,193,0.0,40.77,0.0,1.175033333
1830,42.02,partly-cloudy-night,0.94,2.02,Partly Cloudy,39.03,1010.11,4.75,0.31,1458212400,213,0.0,40.33,0.0,0.8269166669999999
1831,42.93,partly-cloudy-day,0.96,3.48,Partly Cloudy,40.67,1010.19,4.04,0.58,1458216000,204,0.0,41.83,0.0,2.489116667
1832,44.2,partly-cloudy-day,0.94,6.83,Partly Cloudy,43.11,1009.81,3.0,0.25,1458219600,215,0.0,42.58,0.0,1.8602
1833,48.05,clear-day,0.86,9.91,Clear,46.39,1009.61,4.32,0.18,1458223200,217,0.0,44.14,0.0,0.8440666670000001
1834,52.18,clear-day,0.75,9.91,Clear,52.18,1008.68,6.28,0.13,1458226800,207,0.0,44.51,0.0,4.4355833339999995
1835,55.96,clear-day,0.6,10.0,Clear,55.96,1007.68,7.69,0.13,1458230400,239,0.0,42.26,0.0,0.693733334
1836,59.09,clear-day,0.41,10.0,Clear,59.09,1006.53,13.54,0.21,1458234000,258,0.0,35.19,0.0,2.66685
1837,58.94,partly-cloudy-day,0.36,9.73,Partly Cloudy,58.94,1005.37,12.01,0.35,1458237600,250,0.0,32.33,0.0,1.0756666670000001
1838,57.8,partly-cloudy-day,0.39,10.0,Partly Cloudy,57.8,1004.81,13.72,0.27,1458241200,264,0.0046,33.07,0.19,0.4902
1839,52.05,rain,0.53,9.26,Drizzle,52.05,1005.56,18.1,0.29,1458244800,297,0.0069,35.27,0.33,3.4164833330000004
1840,48.94,rain,0.63,9.87,Drizzle,45.41,1006.0,8.15,0.14,1458248400,309,0.0062,37.09,0.29,0.8393833340000001
1841,49.45,clear-day,0.6,10.0,Clear,47.32,1005.89,5.43,0.12,1458252000,217,0.0011,36.01,0.02,2.8667833330000003
1842,47.25,clear-night,0.66,10.0,Clear,44.83,1005.93,5.25,0.03,1458255600,204,0.0015,36.55,0.03,3.398883333
1843,44.77,clear-night,0.72,10.0,Clear,41.77,1006.49,5.46,0.15,1458259200,219,0.0,36.29,0.0,2.1461
1844,43.12,clear-night,0.77,10.0,Clear,40.44,1006.89,4.59,0.09,1458262800,245,0.0,36.27,0.0,3.737616667
1845,41.63,clear-night,0.79,9.66,Clear,39.36,1007.15,3.83,0.06,1458266400,271,0.0011,35.54,0.01,0.7769166670000001
1846,41.86,clear-night,0.78,10.0,Clear,38.57,1007.64,5.12,0.2,1458270000,280,0.0011,35.36,0.01,3.4003333330000003
1847,42.76,clear-night,0.71,10.0,Clear,38.8,1007.18,6.41,0.09,1458273600,248,0.0,34.04,0.0,0.7920166670000001
1848,40.53,clear-night,0.74,10.0,Clear,37.94,1006.49,3.98,0.05,1458277200,234,0.0,33.02,0.0,3.411533333
1849,39.0,clear-night,0.78,10.0,Clear,34.8,1005.98,5.67,0.03,1458280800,235,0.0,32.89,0.0,2.258916667
1850,38.46,clear-night,0.78,9.83,Clear,32.78,1005.59,7.88,0.07,1458284400,244,0.0008,32.17,0.01,0.787533334
1851,38.26,clear-night,0.76,10.0,Clear,33.23,1005.37,6.68,0.04,1458288000,247,0.0,31.22,0.0,3.89445
1852,39.32,clear-night,0.73,10.0,Clear,34.88,1005.33,6.11,0.04,1458291600,256,0.0,31.36,0.0,1.177866667
1853,38.43,clear-night,0.74,9.84,Clear,33.8,1005.57,6.13,0.09,1458295200,240,0.0011,30.95,0.01,1.0551666670000002
1854,37.27,clear-night,0.75,10.0,Clear,32.44,1005.7,6.09,0.08,1458298800,241,0.0027,30.06,0.08,5.804283333
1855,39.94,clear-day,0.71,10.0,Clear,34.17,1005.78,8.69,0.09,1458302400,265,0.0,31.29,0.0,1.43
1856,43.02,partly-cloudy-day,0.63,10.0,Partly Cloudy,36.73,1005.82,11.76,0.27,1458306000,273,0.0,31.1,0.0,0.825
1857,44.24,partly-cloudy-day,0.57,10.0,Partly Cloudy,37.06,1005.89,15.74,0.27,1458309600,280,0.0,29.88,0.0,3.5039999999999996
1858,45.4,clear-day,0.53,10.0,Clear,38.86,1006.09,14.6,0.16,1458313200,288,0.0,29.27,0.0,5.115966667
1859,46.6,partly-cloudy-day,0.51,10.0,Partly Cloudy,40.41,1006.11,14.58,0.31,1458316800,291,0.0,29.29,0.0,2.167733333
1860,47.02,partly-cloudy-day,0.49,9.71,Partly Cloudy,40.3,1006.17,17.14,0.31,1458320400,291,0.0008,28.64,0.01,3.9822
1861,47.33,partly-cloudy-day,0.5,9.58,Partly Cloudy,41.07,1006.35,15.61,0.42,1458324000,287,0.0024,29.79,0.07,4.981433333
1862,44.96,partly-cloudy-day,0.61,9.5,Partly Cloudy,38.82,1006.95,12.84,0.31,1458327600,284,0.0036,32.19,0.13,1.6902166669999998
1863,45.36,partly-cloudy-day,0.59,9.65,Partly Cloudy,39.76,1007.27,11.48,0.31,1458331200,286,0.0022,31.73,0.06,0.6915833330000001
1864,44.81,partly-cloudy-day,0.59,10.0,Partly Cloudy,38.61,1007.82,12.86,0.31,1458334800,286,0.0027,31.44,0.08,0.7964500010000001
1865,43.84,partly-cloudy-day,0.56,10.0,Partly Cloudy,37.27,1008.97,13.25,0.31,1458338400,293,0.0,29.27,0.0,1.069266667
1866,41.71,partly-cloudy-night,0.58,10.0,Partly Cloudy,35.27,1009.96,11.25,0.28,1458342000,297,0.0,27.86,0.0,3.7892
1867,39.59,clear-night,0.59,10.0,Clear,33.02,1011.04,10.24,0.2,1458345600,306,0.0,26.44,0.0,0.690499999
1868,38.75,partly-cloudy-night,0.54,10.0,Partly Cloudy,31.59,1011.93,11.2,0.26,1458349200,305,0.0,23.56,0.0,3.732483333
1869,37.1,clear-night,0.53,10.0,Clear,30.34,1012.92,9.38,0.17,1458352800,311,0.0,21.42,0.0,0.6891666660000001
1870,35.22,clear-night,0.53,10.0,Clear,28.96,1013.77,7.68,0.12,1458356400,319,0.0,20.04,0.0,0.6931833329999999
1871,34.12,clear-night,0.5,10.0,Clear,27.45,1014.35,7.96,0.15,1458360000,324,0.0,17.63,0.0,1.17175
1872,32.62,clear-night,0.48,10.0,Clear,25.89,1014.78,7.54,0.05,1458363600,335,0.0,15.21,0.0,8.665949999
1873,30.83,clear-night,0.49,10.0,Clear,24.66,1015.38,6.22,0.01,1458367200,343,0.0,13.81,0.0,0.797266666
1874,28.86,clear-night,0.5,10.0,Clear,23.47,1016.05,4.92,0.0,1458370800,332,0.0,12.72,0.0,4.9825
1875,27.29,clear-night,0.51,10.0,Clear,21.79,1016.5,4.76,0.0,1458374400,338,0.0,11.71,0.0,8.68195
1876,25.65,clear-night,0.53,10.0,Clear,20.36,1017.39,4.32,0.0,1458378000,329,0.0,10.84,0.0,7.79935
1877,24.23,clear-night,0.57,10.0,Clear,19.38,1018.27,3.78,0.0,1458381600,331,0.0,11.15,0.0,3.485499999
1878,24.16,clear-day,0.55,10.0,Clear,18.21,1018.96,4.68,0.02,1458385200,319,0.0,10.33,0.0,8.066166666
1879,26.66,clear-day,0.51,10.0,Clear,20.34,1019.59,5.47,0.02,1458388800,317,0.0,10.97,0.0,5.9936500000000015
1880,29.26,clear-day,0.41,10.0,Clear,20.95,1019.68,8.9,0.02,1458392400,334,0.0,8.35,0.0,4.84035
1881,31.37,clear-day,0.36,10.0,Clear,23.48,1019.72,9.02,0.02,1458396000,320,0.0,7.53,0.0,5.5678666670000005
1882,33.34,clear-day,0.32,10.0,Clear,25.91,1019.58,9.0,0.02,1458399600,325,0.0,6.84,0.0,6.2779500000000015
1883,35.68,clear-day,0.29,10.0,Clear,28.82,1019.3,8.93,0.02,1458403200,304,0.0,6.81,0.0,8.794233333
1884,37.93,clear-day,0.27,10.0,Clear,31.79,1018.57,8.51,0.02,1458406800,295,0.0,6.91,0.0,3.984466667
1885,39.94,clear-day,0.25,10.0,Clear,33.48,1018.18,10.2,0.02,1458410400,300,0.0,6.75,0.0,3.628083333
1886,41.3,clear-day,0.23,10.0,Clear,34.88,1017.79,10.93,0.03,1458414000,309,0.0,6.16,0.0,3.775
1887,42.08,clear-day,0.22,10.0,Clear,36.59,1017.89,9.14,0.02,1458417600,310,0.0,6.18,0.0,3.45385
1888,41.56,clear-day,0.22,10.0,Clear,35.24,1017.45,10.86,0.03,1458421200,341,0.0,5.37,0.0,3.5392166670000003
1889,40.46,clear-day,0.23,10.0,Clear,33.94,1018.16,10.66,0.03,1458424800,326,0.0,5.41,0.0,0.85105
1890,37.7,clear-night,0.25,10.0,Clear,32.7,1019.28,6.46,0.02,1458428400,336,0.0,5.2,0.0,3.0774166660000004
1891,34.45,clear-night,0.31,10.0,Clear,30.48,1019.85,4.42,0.02,1458432000,322,0.0,7.25,0.0,3.498316666
1892,30.66,clear-night,0.43,10.0,Clear,25.06,1020.26,5.49,0.02,1458435600,336,0.0,10.82,0.0,3.825366667
1893,28.73,clear-night,0.49,10.0,Clear,22.57,1020.66,5.73,0.02,1458439200,333,0.0,12.01,0.0,0.387816667
1894,28.02,clear-night,0.49,10.0,Clear,23.54,1020.92,3.95,0.02,1458442800,345,0.0,11.37,0.0,3.307333334
1895,26.83,clear-night,0.51,10.0,Clear,20.07,1021.2,6.01,0.02,1458446400,0,0.0,10.98,0.0,2.160516667
1896,27.0,clear-night,0.46,10.0,Clear,19.17,1021.38,7.41,0.02,1458450000,12,0.0,8.93,0.0,8.5596
1897,26.18,clear-night,0.45,10.0,Clear,18.41,1022.01,7.11,0.0,1458453600,14,0.0,7.59,0.0,5.5770166670000005
1898,23.95,clear-night,0.5,10.0,Clear,16.05,1022.21,6.69,0.0,1458457200,18,0.0,7.87,0.0,2.129116667
1899,23.34,clear-night,0.48,10.0,Clear,15.17,1022.16,6.86,0.0,1458460800,19,0.0,6.65,0.0,8.165516665999997
1900,21.89,clear-night,0.52,10.0,Clear,14.18,1022.55,6.02,0.0,1458464400,22,0.0,7.02,0.0,4.629950000000001
1901,19.6,clear-night,0.59,10.0,Clear,11.21,1022.88,6.27,0.0,1458468000,20,0.0,7.54,0.0,2.997533333
1902,18.97,clear-day,0.61,10.0,Clear,11.63,1023.35,5.13,0.02,1458471600,14,0.0,7.94,0.0,6.628933333000001
1903,23.14,clear-day,0.56,10.0,Clear,14.7,1023.76,7.15,0.02,1458475200,14,0.0,9.64,0.0,9.850083332999999
1904,26.83,clear-day,0.44,10.0,Clear,18.75,1023.9,7.71,0.02,1458478800,28,0.0,8.04,0.0,2.772116667
1905,29.92,clear-day,0.4,10.0,Clear,23.71,1023.53,6.06,0.05,1458482400,48,0.0,8.32,0.0,6.3657499999999985
1906,32.14,clear-day,0.36,10.0,Clear,26.3,1023.08,6.13,0.13,1458486000,43,0.0,8.17,0.0,4.381266667
1907,34.88,clear-day,0.33,10.0,Clear,30.73,1022.1,4.69,0.1,1458489600,75,0.0,8.5,0.0,0.8018333340000001
1908,36.31,clear-day,0.31,10.0,Clear,30.93,1021.34,6.64,0.12,1458493200,125,0.0,8.76,0.0,5.9917
1909,37.43,partly-cloudy-day,0.3,10.0,Partly Cloudy,33.39,1020.6,5.08,0.27,1458496800,119,0.0,8.71,0.0,9.297816667000001
1910,37.92,clear-day,0.3,10.0,Clear,33.1,1019.92,6.26,0.15,1458500400,143,0.0,9.48,0.0,3.3928833339999995
1911,38.75,clear-day,0.3,10.0,Clear,36.82,1018.87,3.11,0.12,1458504000,94,0.0,10.05,0.0,2.970366667
1912,38.97,partly-cloudy-day,0.32,10.0,Partly Cloudy,35.18,1017.82,5.1,0.26,1458507600,99,0.0,11.49,0.0,5.278433334
1913,38.43,partly-cloudy-day,0.34,10.0,Partly Cloudy,34.6,1017.33,5.04,0.27,1458511200,101,0.0,12.68,0.0,5.162699999000001
1914,36.34,partly-cloudy-night,0.4,10.0,Partly Cloudy,32.34,1017.16,4.81,0.27,1458514800,93,0.0,14.4,0.0,5.265149999
1915,34.75,partly-cloudy-night,0.46,10.0,Partly Cloudy,31.07,1017.0,4.18,0.48,1458518400,86,0.0,15.97,0.0,5.450833332999999
1916,34.04,partly-cloudy-night,0.52,10.0,Partly Cloudy,28.8,1017.31,5.81,0.31,1458522000,112,0.0,18.32,0.0,2.4877833330000003
1917,33.36,partly-cloudy-night,0.56,10.0,Partly Cloudy,27.07,1016.76,7.11,0.31,1458525600,91,0.0,19.22,0.0,4.506466667
1918,31.83,partly-cloudy-night,0.63,9.22,Partly Cloudy,26.9,1016.16,4.97,0.31,1458529200,86,0.0,20.66,0.0,4.928516666
1919,31.01,clear-night,0.7,8.43,Clear,27.71,1015.19,3.36,0.23,1458532800,60,0.0,22.4,0.0,3.3972
1921,30.03,snow,0.79,5.2,Light Snow,25.79,1013.3,4.01,0.67,1458540000,3,0.0039,24.29,0.15,8.999349999
1927,28.49,snow,0.89,3.02,Light Snow,22.97,1009.32,4.99,1.0,1458561600,348,0.0068,25.65,0.33,10.640966666
1929,31.1,clear-day,0.81,7.26,Clear,26.64,1008.92,4.36,0.15,1458568800,322,0.0014,26.0,0.03,8.0325
1930,33.83,clear-day,0.73,9.07,Clear,29.48,1008.37,4.72,0.23,1458572400,309,0.0,25.95,0.0,5.936266667000001
1931,36.7,partly-cloudy-day,0.62,10.0,Partly Cloudy,32.47,1007.6,5.17,0.29,1458576000,337,0.0,25.11,0.0,3.3666
1932,39.6,clear-day,0.52,10.0,Clear,34.71,1006.89,6.89,0.23,1458579600,290,0.0,23.58,0.0,1.1322333329999998
1933,42.41,partly-cloudy-day,0.37,10.0,Partly Cloudy,35.79,1005.95,12.23,0.26,1458583200,300,0.0,18.31,0.0,6.2543000000000015
1934,44.43,clear-day,0.29,10.0,Clear,37.82,1005.52,13.91,0.15,1458586800,294,0.0,13.91,0.0,5.593083332999999
1935,44.94,clear-day,0.26,10.0,Clear,38.22,1005.46,14.82,0.17,1458590400,300,0.0,12.11,0.0,10.538633333
1936,44.57,partly-cloudy-day,0.25,10.0,Partly Cloudy,38.05,1005.81,13.74,0.26,1458594000,296,0.0,10.72,0.0,9.311116666
1937,42.69,clear-day,0.27,10.0,Clear,34.87,1006.69,16.52,0.22,1458597600,293,0.0,11.24,0.0,3.870099999
1938,39.67,clear-night,0.32,10.0,Clear,31.24,1008.06,15.54,0.1,1458601200,292,0.0,12.59,0.0,4.7013
1939,37.53,clear-night,0.37,10.0,Clear,29.38,1009.32,12.96,0.12,1458604800,288,0.0,13.66,0.0,4.667116667
1940,36.32,clear-night,0.41,10.0,Clear,27.33,1010.61,14.4,0.11,1458608400,289,0.0,14.92,0.0,0.9111
1941,35.19,clear-night,0.44,10.0,Clear,27.13,1011.63,11.23,0.07,1458612000,289,0.0,15.41,0.0,0.43775
1942,34.4,clear-night,0.47,9.95,Clear,26.27,1012.31,10.94,0.02,1458615600,287,0.0,16.41,0.0,3.171266666
1943,33.11,clear-night,0.53,9.53,Clear,24.92,1013.02,10.39,0.02,1458619200,283,0.0,18.02,0.0,11.423866665999999
1944,32.41,clear-night,0.58,9.44,Clear,24.28,1013.56,9.93,0.09,1458622800,276,0.0,19.28,0.0,2.788116666
1945,31.68,clear-night,0.62,9.95,Clear,23.41,1013.9,9.85,0.09,1458626400,271,0.0,20.09,0.0,5.2943
1946,31.21,clear-night,0.64,9.79,Clear,22.98,1014.14,9.57,0.05,1458630000,277,0.0,20.41,0.0,3.224333333
1947,31.09,clear-night,0.64,9.46,Clear,22.83,1014.7,9.56,0.16,1458633600,278,0.0,20.18,0.0,0.38725
1948,30.38,clear-night,0.63,10.0,Clear,22.58,1015.59,8.48,0.18,1458637200,279,0.0,19.27,0.0,0.550233334
1949,29.77,clear-night,0.61,9.95,Clear,21.8,1016.5,8.54,0.16,1458640800,275,0.0,17.92,0.0,1.37585
1950,29.06,clear-day,0.6,10.0,Clear,20.77,1017.56,8.81,0.11,1458644400,276,0.0,16.85,0.0,7.0317999989999995
1951,30.89,clear-day,0.55,10.0,Clear,23.33,1018.37,8.25,0.03,1458648000,263,0.0,16.51,0.0,1.4102
1952,33.21,clear-day,0.48,10.0,Clear,24.28,1018.91,12.07,0.08,1458651600,279,0.0,15.44,0.0,1.0244000009999998
1953,35.2,clear-day,0.42,10.0,Clear,26.29,1019.49,13.31,0.2,1458655200,290,0.0,14.48,0.0,3.700716667
1954,37.5,clear-day,0.37,10.0,Clear,29.63,1019.64,12.19,0.18,1458658800,279,0.0,13.56,0.0,7.165116665999999
1955,40.1,clear-day,0.33,10.0,Clear,32.89,1018.94,12.21,0.08,1458662400,264,0.0,13.17,0.0,4.3045333339999985
1956,42.41,clear-day,0.29,10.0,Clear,35.42,1018.28,13.38,0.07,1458666000,272,0.0,12.34,0.0,2.56985
1957,45.2,clear-day,0.26,9.67,Clear,39.54,1017.44,11.54,0.05,1458669600,271,0.0,12.59,0.0,6.72275
1958,46.81,clear-day,0.26,10.0,Clear,40.97,1016.53,13.48,0.05,1458673200,265,0.0,13.48,0.0,2.072983334
1959,48.07,clear-day,0.26,10.0,Clear,42.68,1016.09,13.11,0.16,1458676800,261,0.0,14.87,0.0,0.9074
1960,48.76,clear-day,0.27,10.0,Clear,44.24,1015.8,10.78,0.14,1458680400,250,0.0,16.39,0.0,0.173666667
1961,48.62,clear-day,0.29,10.0,Clear,43.72,1015.66,11.89,0.15,1458684000,240,0.0,17.44,0.0,0.8940833330000001
1962,45.52,clear-day,0.34,10.0,Clear,41.42,1015.74,7.76,0.0,1458687600,209,0.0,18.9,0.0,0.426183334
1972,45.03,partly-cloudy-night,0.6,10.0,Partly Cloudy,39.99,1011.26,9.72,0.25,1458723600,194,0.0,31.91,0.0,0.7394499999999999
1973,44.88,clear-night,0.6,10.0,Clear,40.14,1010.87,8.87,0.13,1458727200,196,0.0,31.75,0.0,1.350516667
1974,44.09,clear-day,0.62,10.0,Clear,39.53,1011.52,8.08,0.08,1458730800,206,0.0,31.8,0.0,4.6232000000000015
1975,45.41,clear-day,0.61,10.0,Clear,41.33,1011.97,7.67,0.12,1458734400,204,0.0,32.75,0.0,2.23995
1977,48.55,clear-day,0.57,10.0,Clear,45.29,1012.54,7.33,0.16,1458741600,198,0.0015,34.04,0.03,0.825466666
1978,51.53,clear-day,0.52,10.0,Clear,51.53,1012.62,7.58,0.21,1458745200,212,0.0,34.38,0.0,1.82205
1979,54.57,clear-day,0.47,10.0,Clear,54.57,1012.49,6.53,0.13,1458748800,222,0.0,34.71,0.0,9.66945
1980,57.62,clear-day,0.42,10.0,Clear,57.62,1012.45,5.79,0.12,1458752400,248,0.0,34.91,0.0,1.1458
1981,60.03,partly-cloudy-day,0.39,10.0,Partly Cloudy,60.03,1012.45,8.23,0.35,1458756000,290,0.0,34.83,0.0,3.581683333
1982,60.77,clear-day,0.38,10.0,Clear,60.77,1012.65,7.79,0.2,1458759600,288,0.0,34.98,0.0,2.291033333
